Indicator_type,Data,Note
Description,IOCs Variant from REvil, Thanos/Hakbit,

sha256,a97431e5426b07395fa02b0b628d568c6c32ee71a0c5c6b08b54d2524980f5bc,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,877c612cf42d85b943010437599b828383ecdf02a17e2b017367db34637e5463,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,a787997af509035b1e84f3cde7f8d62c1e02e8cc368fb95402783a0ed50f33f8,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,bdae4f59c28476bdafff4b6324f994e3dd26ec4947b567673fea7db6fc692071,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,c2a01ef5115f2d41dffa1b1a697d1d05b2b9532a70552473aab36d8e4dda7928,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,d662580e70711ba15f0bc65096a2298801ee7bc373ced3eb59582a637aeeb5fd,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,c2a0a317d73c96428ab088a8f0636ec4ccace7ca691c84ed66a83a70183f40dc,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,62b55aab600673343b6db9456999f03b89e8f6c5c7a4f794afdbdd269b12c0d4,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,5c66963cf7d417ffe475afdf18906df5c6dcd8dbbb1462918f197323dabb6f19,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,e15f9169021b5e11381547d57a952b98e06f6366161d56083ff9be69fc43e9bf,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,785fdf2e6765a7b8870bd0b40d3e944536315604babfe30a7ca3466c02e411fe,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,2eb10ec6fa0d6d3f02a362ad5cbd55da6df47d23cfbacc3bc5a549e761cef7c8,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,ee3408bebb4ca134a66cec5ce38fa686cf1ef4c7cd7be1003028a2fb26f37ff7,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
sha256,e56cbdd422dda00fe75d80d0491195a3c42bade324ffebd913dcab29f741b9f6,DCIT: IOCs Ransomware Variante Thanos/Hakbit from Revil
